Condition,Kras,wt,cassette,esr1y,esr1,set,tiempo,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
1.000,0,1,0,0,0,1,0,,,,,,,
0.780,0,1,0,0,0,1,1,,,,,,,
0.927,0,1,0,0,0,1,1,,,,,,,
1.007,0,1,0,0,0,1,1,,,,,,,
0.945,0,1,0,0,0,1,1,,,,,,,
0.958,0,1,0,0,0,1,1,,,,,,,
0.946,0,1,0,0,0,1,1,,,,,,,
0.874,0,1,0,0,0,1,1,,,,,,,
0.807,0,1,0,0,0,1,1,,,,,,,
0.980,0,1,0,0,0,1,1,,,,,,,
0.813,0,1,0,0,0,1,2,,,,,,,
0.861,0,1,0,0,0,1,2,,,,,,,
0.943,0,1,0,0,0,1,2,,,,,,,
0.832,0,1,0,0,0,1,2,,,,,,,
0.853,0,1,0,0,0,1,2,,,,,,,
0.666,0,1,0,0,0,1,2,,,,,,,
0.757,0,1,0,0,0,1,2,,,,,,,
0.706,0,1,0,0,0,1,2,,,,,,,
1.004,0,1,0,0,0,1,3,,,,,,,
0.787,0,1,0,0,0,1,3,,,,,,,
0.814,0,1,0,0,0,1,3,,,,,,,
0.785,0,1,0,0,0,1,3,,,,,,,
0.855,0,1,0,0,0,1,3,,,,,,,
0.864,0,1,0,0,0,1,3,,,,,,,
0.703,0,1,0,0,0,1,3,,,,,,,
0.664,0,1,0,0,0,1,3,,,,,,,
0.614,0,1,0,0,0,1,3,,,,,,,
0.888,0,1,0,0,0,1,3,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
1.000,0,1,0,0,0,0,0,,,,,,,
0.908,0,1,0,0,0,0,1,,,,,,,
0.916,0,1,0,0,0,0,1,,,,,,,
0.930,0,1,0,0,0,0,1,,,,,,,
0.967,0,1,0,0,0,0,1,,,,,,,
1.002,0,1,0,0,0,0,1,,,,,,,
1.075,0,1,0,0,0,0,1,,,,,,,
1.061,0,1,0,0,0,0,1,,,,,,,
1.016,0,1,0,0,0,0,1,,,,,,,
0.932,0,1,0,0,0,0,1,,,,,,,
1.176,0,1,0,0,0,0,2,,,,,,,
1.046,0,1,0,0,0,0,2,,,,,,,
1.265,0,1,0,0,0,0,2,,,,,,,
1.314,0,1,0,0,0,0,2,,,,,,,
1.417,0,1,0,0,0,0,2,,,,,,,
1.384,0,1,0,0,0,0,2,,,,,,,
1.307,0,1,0,0,0,0,2,,,,,,,
1.145,0,1,0,0,0,0,2,,,,,,,
1.187,0,1,0,0,0,0,3,,,,,,,
0.970,0,1,0,0,0,0,3,,,,,,,
0.930,0,1,0,0,0,0,3,,,,,,,
0.915,0,1,0,0,0,0,3,,,,,,,
1.241,0,1,0,0,0,0,3,,,,,,,
1.205,0,1,0,0,0,0,3,,,,,,,
1.346,0,1,0,0,0,0,3,,,,,,,
1.075,0,1,0,0,0,0,3,,,,,,,
1.015,0,1,0,0,0,0,3,,,,,,,
1.111,0,1,0,0,0,0,3,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
1.000,0,0,1,0,0,1,0,,,,,,,
0.984,0,0,1,0,0,1,1,,,,,,,
0.935,0,0,1,0,0,1,1,,,,,,,
0.995,0,0,1,0,0,1,1,,,,,,,
0.983,0,0,1,0,0,1,1,,,,,,,
0.984,0,0,1,0,0,1,1,,,,,,,
0.975,0,0,1,0,0,1,1,,,,,,,
0.960,0,0,1,0,0,1,1,,,,,,,
0.607,0,0,1,0,0,1,1,,,,,,,
0.934,0,0,1,0,0,1,1,,,,,,,
0.894,0,0,1,0,0,1,2,,,,,,,
0.971,0,0,1,0,0,1,2,,,,,,,
0.909,0,0,1,0,0,1,2,,,,,,,
0.844,0,0,1,0,0,1,2,,,,,,,
