Condition,celprom,Kras,wt,cassette,esr1y,esr1,setnumber,tiempo
WT1,15000,0,1,0,0,0,1,0
WT1,15000,0,1,0,0,0,0,0
WT2,13750,0,1,0,0,0,1,24
WT2,18000,0,1,0,0,0,1,24
WT2,17500,0,1,0,0,0,0,24
WT2,15833,0,1,0,0,0,0,24
WT3,32500,0,1,0,0,0,1,48
WT3,35250,0,1,0,0,0,1,48
WT3,46667,0,1,0,0,0,0,48
WT3,46667,0,1,0,0,0,0,48
WT4,53750,0,1,0,0,0,1,72
WT4,57800,0,1,0,0,0,0,72
WT4,76667,0,1,0,0,0,0,72
WT4,89167,0,1,0,0,0,1,72
CS1,15000,0,0,1,0,0,1,0
CS1,15000,0,0,1,0,0,0,0
CS2,18750,0,0,1,0,0,1,24
CS2,13450,0,0,1,0,0,1,24
CS2,13333,0,0,1,0,0,0,24
CS2,16667,0,0,1,0,0,0,24
CS3,35000,0,0,1,0,0,1,48
CS3,35750,0,0,1,0,0,1,48
CS3,33333,0,0,1,0,0,0,48
CS3,33333,0,0,1,0,0,0,48
CS4,60000,0,0,1,0,0,1,72
CS4,57000,0,0,1,0,0,1,72
CS4,72500,0,0,1,0,0,0,72
CS4,55000,0,0,1,0,0,0,72
KRAS1,15000,1,0,0,0,0,1,0
KRAS1,15000,1,0,0,0,0,0,0
KRAS2,18750,1,0,0,0,0,1,24
KRAS2,17500,1,0,0,0,0,1,24
KRAS2,14167,1,0,0,0,0,0,24
KRAS2,21667,1,0,0,0,0,0,24
KRAS3,34500,1,0,0,0,0,1,48
KRAS3,33250,1,0,0,0,0,1,48
KRAS3,32500,1,0,0,0,0,0,48
KRAS3,32500,1,0,0,0,0,0,48
KRAS4,57160,1,0,0,0,0,1,72
KRAS4,55800,1,0,0,0,0,1,72
KRAS4,82500,1,0,0,0,0,0,72
KRAS4,94167,1,0,0,0,0,0,72
ESR11,15000,0,0,0,0,1,1,0
ESR11,15000,0,0,0,0,1,0,0
ESR12,25000,0,0,0,0,1,1,24
ESR12,28000,0,0,0,0,1,1,24
ESR12,14166,0,0,0,0,1,0,24
ESR12,13333,0,0,0,0,1,0,24
ESR13,31250,0,0,0,0,1,1,48
ESR13,34150,0,0,0,0,1,1,48
ESR13,34166,0,0,0,0,1,0,48
ESR13,25833,0,0,0,0,1,0,48
ESR14,42600,0,0,0,0,1,1,72
ESR14,46250,0,0,0,0,1,1,72
ESR14,49166,0,0,0,0,1,0,72
ESR14,86666,0,0,0,0,1,0,72
ESR1Y1,15000,0,0,0,1,0,1,0
ESR1Y1,15000,0,0,0,1,0,0,0
ESR1Y2,18750,0,0,0,1,0,1,24
ESR1Y2,17200,0,0,0,1,0,1,24
ESR1Y2,7500,0,0,0,1,0,0,24
ESR1Y2,15000,0,0,0,1,0,0,24
ESR1Y3,31000,0,0,0,1,0,1,48
ESR1Y3,29750,0,0,0,1,0,1,48
ESR1Y3,26667,0,0,0,1,0,0,48
ESR1Y3,35833,0,0,0,1,0,0,48
ESR1Y4,60660,0,0,0,1,0,1,72
ESR1Y4,57000,0,0,0,1,0,1,72
ESR1Y4,115000,0,0,0,1,0,0,72
ESR1Y4,136667,0,0,0,1,0,0,72
